Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
808,Observer - Optomechanics,"More (more of, higher)",Field of View,Observer uses a bigger FOV than expected,Image distortion (pillow) and vignetting can become remarkable,
809,Observer - Optomechanics,"More (more of, higher)",Field of View,Observer uses a bigger FOV than expected,View has probably more overlap with another view,
810,Observer - Optomechanics,"More (more of, higher)",Field of View,Observer uses a bigger FOV than expected,System will be out of focus,
811,Observer - Optomechanics,"Less (less of, lower)",Field of View,Observer uses a smaller FOV than expected,Focal length larger than expected,Objects interpreted than expected
812,Observer - Optomechanics,"Less (less of, lower)",Field of View,Observer uses a smaller FOV than expected,Less of scene captured than expected - overview reduced,Relevant scene elements not seen (not within image)
813,Observer - Optomechanics,"Less (less of, lower)",Field of View,Observer uses a smaller FOV than expected,Objects appear bigger than expected ,Connection to previous view might be lost - (registration/ visual odometry wrong)
814,Observer - Optomechanics,"Less (less of, lower)",Field of View,Observer uses a smaller FOV than expected,Objects size shrinks with distance weaker than expected,"The lens system has to change the focus distance accordingly, otherwise the system is out of focus"
815,Observer - Optomechanics,"Less (less of, lower)",Field of View,Observer uses a smaller FOV than expected,View has probably less overlap with previous view,
816,Observer - Optomechanics,"Less (less of, lower)",Field of View,Observer uses a smaller FOV than expected,System will be out of focus,
817,Observer - Optomechanics,"Less (less of, lower)",Field of View,Observer uses a smaller FOV than expected,Motion estimation possibly hampered (Aperture Problem see [Hildreth+83]),
818,Observer - Optomechanics,As well as,Field of View,Viewing angle both larger and smaller than expected ® aspect ratio different from expected,Scene appears compressed along one image axis,Objects appearance misinterpreted
819,Observer - Optomechanics,As well as,Field of View,Viewing angle both larger and smaller than expected ® aspect ratio different from expected,,Objects confused
820,Observer - Optomechanics,As well as,Field of View,Multiple Observers are used together,Intersection of FOVs needed to merge information,See Calib. of Algorithm
821,Observer - Optomechanics,As well as,Field of View,Multiple Observers are used together,See Num ,See Num
822,Observer - Optomechanics,Part of,Field of View,Part of FOV is always blocked,See Observer Less Transp,See Observer Less Transp
823,Observer - Optomechanics,Part of,Field of View,Part of FOV is always blocked,See Medium Less Transp ,See Medium Less Transp
824,Observer - Optomechanics,Part of,Field of View,Part of FOV is always blocked,See Obj. Close (spat.),
825,Observer - Optomechanics,Reverse,Field of View,Aspect ratio reversed (e.g. portrait instead of landscape),See Orientation,See Orientation
826,Observer - Optomechanics,Reverse,Field of View,FOV points in opposite direction than expected ,See Orientation ,See Orientation
827,Observer - Optomechanics,Other than,Field of View,Orientation/Position is Other than expected,Tilt view,Objects not recognized
828,Observer - Optomechanics,Other than,Field of View,Orientation/Position is Other than expected,View upside down,Whole scene not correctly recognized
829,Observer - Optomechanics,Spatial periodic,Field of View,FOV changes its orientation periodically,Can miss things happening in overall (connected) FOV,Detection fails 
830,Observer - Optomechanics,Spatial aperiodic,Field of View,FOV changes spatially and temporally aperiodical,See periodic,See periodic
831,Observer - Optomechanics,Temporal periodic,Field of View,FOV changes in a temporally periodic manner,FOV changes in a periodic manner,Continuous confusion of CV alg.
832,Observer - Optomechanics,Temporal periodic,Field of View,FOV changes in a temporally periodic manner,See Spatial periodic,See Spatial Periodic
833,Observer - Optomechanics,Temporal aperiodic,Field of View,FOV changes in a temporally irregular manner,FOV changes in temporally non-periodic manner,Continuous confusion of CV alg.
834,Observer - Optomechanics,Close,Field of View,The FOVs of two observers have a large overlap ,Leads to small disparities in corresponding points,See Close (spat.) Num
835,Observer - Optomechanics,Close,Field of View,The FOVs of two observers have a large overlap ,See Close (spat.) Num,
836,Observer - Optomechanics,Remote,Field of View,The FOVs of two observers have a small overlap,Leads to large disparities in corresponding points,See Remote (spat.) Num
837,Observer - Optomechanics,Remote,Field of View,The FOVs of two observers have a small overlap,See Remote (spat.) Num,
838,Observer - Optomechanics,Before,Field of View,FOV changes earlier than expected,FOV changes earlier than expected,CV system misinterprets scene phase
839,Observer - Optomechanics,After,Field of View,FOV changes later than expected,FOV changes later than expected,See Before
840,Observer - Optomechanics,In front of,Field of View,One observer is in front of the other,The Object characteristics of the observer in front are captured by rear observer,"Possible misdetections, the front observer is mistaken for an object of interest"
841,Observer - Optomechanics,In front of,Field of View,One observer is in front of the other,See Close,Front observer blocks the view of the rear one (See Obj. Position Close)
842,Observer - Optomechanics,In front of,Field of View,One observer is in front of the other,,See Close
843,Observer - Optomechanics,Behind,Field of View,One observer is in front of the other,See in front of,See in front of
844,Observer - Optomechanics,Faster,Field of View,FOV changes faster than expected,PTZ movement motion blur,PTZ motion confused with Observer motion
845,Observer - Optomechanics,Slower,Field of View,FOV changes slower than expected,Wrong section of scene captured,See More/Less
846,Observer - Optomechanics,No (not none),Viewing orientation,Relative orientation of observer in world unknown,Camera orientation undefined,Miscalculation of relative positions
847,Observer - Optomechanics,No (not none),Viewing orientation,Relative orientation of observer in world unknown,See No FOV,Miscalculation of all consecutive steps
848,Observer - Optomechanics,No (not none),Viewing orientation,Relative orientation of observer in world unknown,,See No FOV
849,Observer - Optomechanics,"More (more of, higher)",Viewing orientation,Observer is more oriented towards ROI than expected,"The object did not enter the FOV, this entrance event is not captured",Missed detection of dynamic objects
850,Observer - Optomechanics,"Less (less of, lower)",Viewing orientation,VOrient Less oriented towards ROI than expected,Only part of relevant scene is captured,Wrong objects confused with expected ones
851,Observer - Optomechanics,"Less (less of, lower)",Viewing orientation,VOrient Less oriented towards ROI than expected,,Scene not correctly recognized
852,Observer - Optomechanics,"Less (less of, lower)",Viewing orientation,VOrient Less oriented towards ROI than expected,,Unusual objects in scene cause longer processing time than allowed
853,Observer - Optomechanics,Part of,Viewing orientation,Misorientation in only one or two rotational axis,See Less,See Less
854,Observer - Optomechanics,Reverse,Viewing orientation,Observer looks in the opposite direction than expected,FOV includes very different scene than expected,See Other than
855,Observer - Optomechanics,Other than,Viewing orientation,Observer oriented towards a wrong direction,(Completely) different scene captured,Wrong objects confused with expected ones 
856,Observer - Optomechanics,Other than,Viewing orientation,Observer oriented towards a wrong direction,,Nothing correctly recognized
857,Observer - Optomechanics,Other than,Viewing orientation,Observer oriented towards a wrong direction,,Unusual objects in scene causes longer processing time than allowed
858,Observer - Optomechanics,Where else,Viewing orientation,See Other than,See Other than,See Other than
859,Observer - Optomechanics,Spatial periodic,Viewing orientation,Observer orientation can only be set to  discrete values,Best orientation to center view on object or capture multiple objects in one view cannot be used as it is not available due to the movement discretization,Misdetections
860,Observer - Optomechanics,Spatial periodic,Viewing orientation,Observer orientation can only be set to  discrete values,Objects might be partially outside the FOV,Incomplete reconstruction (holes)
861,Observer - Optomechanics,Spatial periodic,Viewing orientation,Observer orientation can only be set to  discrete values,Spatial aliasing possible ,
862,Observer - Optomechanics,Spatial aperiodic,Viewing orientation,VOrient is not constrained (within a given range),Additional uncertainties due to arbitrary viewing direction,Additional uncertainties introduce additional uncertainties for the position estimation of objects relative to each other
863,Observer - Optomechanics,Spatial aperiodic,Viewing orientation,VOrient is not constrained (within a given range),,
864,Observer - Optomechanics,Temporal periodic,Viewing orientation,VOrient changes in a temporally periodic manner,Motion blur,Periodic misinterpretation of scene
865,Observer - Optomechanics,Temporal periodic,Viewing orientation,VOrient changes in a temporally periodic manner,Captured FOV changes in a periodically manner,Periodic violation of computing time limits
866,Observer - Optomechanics,Temporal periodic,Viewing orientation,VOrient changes in a temporally periodic manner,"Coupled with synchronised exposure, only a fraction of scene could be recorded over longer periods of time",Aliasing frequency is taken for real
867,Observer - Optomechanics,Temporal periodic,Viewing orientation,VOrient changes in a temporally periodic manner,Can miss things happening in overall (connected) FOV,
868,Observer - Optomechanics,Temporal periodic,Viewing orientation,VOrient changes in a temporally periodic manner,Temp. aliasing if the frequency exceeds half the frame rate,
869,Observer - Optomechanics,Temporal aperiodic,Viewing orientation,VOrient changes in a temporally aperiodic manner,Motion blur,Occasional misinterpretation of scene
870,Observer - Optomechanics,Temporal aperiodic,Viewing orientation,VOrient changes in a temporally aperiodic manner,Captured scene cut-out changes in an irregular manner,Occasional violation of computing time limits
871,Observer - Optomechanics,Temporal aperiodic,Viewing orientation,VOrient changes in a temporally aperiodic manner,Uncertainty of position over time is increased,
872,Observer - Optomechanics,Before,Viewing orientation,VOrient changes earlier than expected,ROI lost earlier than expected,Relevant aspects in scene not more captured
873,Observer - Optomechanics,Before,Viewing orientation,VOrient changes earlier than expected,Following an object is difficult,Moving object might not be detected
874,Observer - Optomechanics,After,Viewing orientation,VOrient changes later than expected,Changing ROI lost (temporally),See Before
875,Observer - Optomechanics,After,Viewing orientation,VOrient changes later than expected,Following an object is difficult,
876,Observer - Optomechanics,Faster,Viewing orientation,VOrient changes faster than expected,Observer rotation blur,Blur wrongly interpreted as high speed of Observer
877,Observer - Optomechanics,Faster,Viewing orientation,VOrient changes faster than expected,Aliasing if periodic too fast for the given frame rate,See Temporal periodic
878,Observer - Optomechanics,Slower,Viewing orientation,VOrient changes slower than expected,See After,See After
879,Observer - Optomechanics,No (not none),Viewing position,Observer position unknown,Uncertainties in scene localisation,Misinterpretation of scene and contained objects
880,Observer - Optomechanics,As well as,Viewing position,Multiple observers at different positions are used together,Several Observer pos.s increase computational complexity,Image mismatch causes wrong scene interpretation
881,Observer - Optomechanics,As well as,Viewing position,Multiple observers at different positions are used together,Several Observer pos.s increase potential for making mistakes in fusing Observer data,"Non-overlapping parts cannot be used, or are not interpreted correctly."
882,Observer - Optomechanics,As well as,Viewing position,Multiple observers at different positions are used together,Optical (lens) effects can be different in corresponding images,Different optical effects hamper registration / matching
883,Observer - Optomechanics,Part of,Viewing position,VPos is Part of scene (within scene),Sensor too close to scene - scene partially defocused,Defocused objects not correctly recognized
884,Observer - Optomechanics,Other than,Viewing position,VPos not at expected position with respect to scene,Scene appears different from expected (different perspective on scene than expected),Scene (partially) misinterpreted
885,Observer - Optomechanics,Other than,Viewing position,Observers camera center is at a different position than expected,Offset between the camera center and the center of mechanical camera rotation differs from the expectation (that can be 0),Wrong expectation of the camera housings position can lead to collisions
886,Observer - Optomechanics,Other than,Viewing position,Observers camera center is at a different position than expected,The placement of the observers housing is different than expected ,
887,Observer - Optomechanics,Other than,Viewing position,Principal point position is different than expected,Different representations of origins are confused,Miscalculations in positions 
888,Observer - Optomechanics,Other than,Viewing position,Principal point position is different than expected,,Shifts in position calculation
889,Observer - Optomechanics,Spatial periodic,Viewing position,Observer position can only be set to discrete values,Preferred best position (to optimally capture the object(s) of interest) cannot be achieved,Misdetections
890,Observer - Optomechanics,Spatial periodic,Viewing position,Observer position can only be set to discrete values,,
891,Observer - Optomechanics,Spatial periodic,Viewing position,Observer position can only be set to discrete values,,
892,Observer - Optomechanics,Spatial aperiodic,Viewing position,Observer position is not constrained (perhaps within a given range),Additional uncertainties due to arbitrary position of observer,Additional uncertainties introduce additional uncertainties for the position estimation of objects
893,Observer - Optomechanics,Close,Viewing position,VPos is closer to scene than expected ó object distance shorter,Object distance is shorter than expected (out of focus),Too close objects confuse scene interpretation
894,Observer - Optomechanics,Close,Viewing position,VPos is closer to scene than expected ó object distance shorter,Objects have more details than expected,See Less Focus
895,Observer - Optomechanics,Close,Viewing position,VPos is closer to scene than expected ó object distance shorter,View contains less objects than expected,See Object Pos. Close
896,Observer - Optomechanics,Close,Viewing position,VPos is closer to scene than expected ó object distance shorter,View includes only part of the object instead of whole objects,
897,Observer - Optomechanics,Close,Viewing position,VPos is closer to scene than expected ó object distance shorter,Objects too close to Observer to capture their significance,
898,Observer - Optomechanics,Remote,Viewing position,VPos is more remote from scene than expected,Object distance is bigger than expected (out of focus),Relevant scene details not recognized
899,Observer - Optomechanics,Remote,Viewing position,VPos is more remote from scene than expected,Object have less details than expected,Objects distances estimated less accurate
900,Observer - Optomechanics,Remote,Viewing position,VPos is more remote from scene than expected,View contains more objects than expected,
901,Observer - Optomechanics,Remote,Viewing position,VPos is more remote from scene than expected,View includes whole objects instead of viewing sections/parts of the object,
902,Observer - Optomechanics,Remote,Viewing position,VPos is more remote from scene than expected,Relevant scene elements (objects) too remote from Observer,
903,Observer - Optomechanics,Behind,Viewing position,Observer is at a position where the expected view is blocked,See Objects Occl.,See Objects Occl.
904,Observer - Optomechanics,Faster,Viewing position,Observer moves faster than expected,Motion blur more likely with longer exposures,Blurred objects misdetected
905,Observer - Optomechanics,Faster,Viewing position,Observer moves faster than expected,Less time for observing scene,Scene wrongly interpreted
906,Observer - Optomechanics,Faster,Viewing position,Observer moves faster than expected,Internal representation lags behind observed scene,
907,Observer - Optomechanics,Slower,Viewing position,Observer moves slower than expected,Internal representation runs ahead observed scene,Scene wrongly interpreted
908,Observer - Optomechanics,No (not none),Transparency,The sensor optics is not transparent at all,No light transmits them.,"Confusion with ""complete darkness"""
909,Observer - Optomechanics,No (not none),Transparency,The sensor optics is not transparent at all,,Sensor does not detect that its blind but reports exaggerated/extrapolated data
910,Observer - Optomechanics,"More (more of, higher)",Transparency,The sensor optics is more transparent than expected,Overall scene intensity as received by the electronics is higher than expected,"Overexposure, at least of specific objects"
911,Observer - Optomechanics,"More (more of, higher)",Transparency,The sensor optics is more transparent than expected,Light with unexpected (unwanted) frequencies is received by Obs. electronics,Misinterpretation of whole scene or at least some objects
912,Observer - Optomechanics,"More (more of, higher)",Transparency,The sensor optics is more transparent than expected,Colours or relative intensities (between Obj.s) as received differ from expected ones,
913,Observer - Optomechanics,"Less (less of, lower)",Transparency,The sensor optics is less transparent than expected,Only part of expected light is received by Obs. electronics,Underexposure
914,Observer - Optomechanics,"Less (less of, lower)",Transparency,The sensor optics is less transparent than expected,,Misinterpretation of whole scene or at least of some objects
915,Observer - Optomechanics,As well as,Transparency,The sensor optics is both more and less trans­parent at the same time,Combination of More and Less,Parts of scene are misinterpreted
916,Observer - Optomechanics,Part of,Transparency,Part of optics are less transparent than expected (e.g. dirt on lens),Defocused areas,Misdetections
917,Observer - Optomechanics,Part of,Transparency,Part of optics are less transparent than expected (e.g. dirt on lens),Dirt creates virtual pattern on sensor,
918,Observer - Optomechanics,Part of,Transparency,Observer block part of the image,Parts of the image are black,(Partially) Blocked Objects are not detected
919,Observer - Optomechanics,Part of,Transparency,Observer block part of the image,Objects may be (partially) invisible (in black image area),Information within the blocked FOV cannot be interpreted
920,Observer - Optomechanics,Part of,Transparency,Observer block part of the image,,See Part of FOV
921,Observer - Optomechanics,Other than,Transparency,"The transparency of sensor optics is completely different from expected, e.g. due to broken lenses","The scene looks completely differently than expected, e.g. parts of it are multiplied",Strong confusion of CV alg. if fault not detected
922,Observer - Optomechanics,Where else,Transparency,"Lens body is not completely light proof, light can reach sensor from the side of the body",Flare effects,See More
923,Observer - Optomechanics,Where else,Transparency,"Lens body is not completely light proof, light can reach sensor from the side of the body",See More,Additional light effects misinterpreted as scene components
924,Observer - Optomechanics,Spatial periodic,Transparency,The transparency of the lenses changes in a spatially periodic manner ,Parts of the FOV are blocked reduced in intensity,Strong confusion of CV alg.
925,Observer - Optomechanics,Spatial aperiodic,Transparency,"The transparency of the lenses changes in a spatially irregularly manner, ",The intensity of the image is irregularly reduced,CV alg. is hampered.
926,Observer - Optomechanics,Spatial aperiodic,Transparency,"The transparency of the lenses changes in a spatially irregularly manner, ",,"In particular, dense stereo vision is significantly hampered, since pollution is very likely different for both cameras."
927,Observer - Optomechanics,Temporal periodic,Transparency,Transparency changes in a temporally periodic manner ,See Less,"If not learned and compensated, See Less"
928,Observer - Optomechanics,Temporal aperiodic,Transparency,Transparency changes in a temporally aperiodic manner,See Less,
929,Observer - Optomechanics,Close,Transparency,Last lens in assembly has different transparency than expected ,See Other Than/Less/More,See Other Than/Less/More
930,Observer - Optomechanics,Remote,Transparency,First lens in assembly has different transparency than the rest,The lens system either magnifies local transparency changes or focuses them,"See Less, Part of"
931,Observer - Optomechanics,Remote,Transparency,First lens in assembly has different transparency than the rest,For global effects: See More Less,
932,Observer - Optomechanics,Before,Transparency,Shutter opens or closes before this is expected,Exposure time differs from expected,See Less/More/Faster Exposure
933,Observer - Optomechanics,Before,Transparency,Shutter opens or closes before this is expected,Photoelectric events are exposed to light out of schedule,Rolling Shutter is causing artefacts which are misinterpreted as object properties
934,Observer - Optomechanics,Before,Transparency,Shutter opens or closes before this is expected,"Over/Under-exposure, See Less Exposure",
935,Observer - Optomechanics,Before,Transparency,Shutter opens or closes before this is expected,"Rolling-shutter effect can occur, if image sensor is reading data while the shutter is open, See Slower Exposure",
936,Observer - Optomechanics,Before,Transparency,Shutter opens or closes before this is expected,"Not synchronized with flash trigger, See Before L.s. Intensity",
937,Observer - Optomechanics,After,Transparency,Shutter opens or closes after this is expected,See Before Transp.,
938,Observer - Optomechanics,In front of,Transparency,Something is directly in front of the lens (e.g. dirt),"See Less, Part of","See Less, Part of"
939,Observer - Optomechanics,Behind,Transparency,Something is trapped behind the lens (e.g. dirt),"See Less, Part of","See Less, Part of"
940,Observer - Optomechanics,No (not none),Spectrum,"No colour is transmitted (monochromatic), because only a very small fraction of spectrum is passed","Objects not emitting (reflecting etc.) light in this range are ""black""",Underexposure (less energy transmitted)Most objects not (correctly) recognized
941,Observer - Optomechanics,No (not none),Spectrum,"No colour is transmitted (monochromatic), because only a very small fraction of spectrum is passed",,Objects are not distinguishable any more
942,Observer - Optomechanics,No (not none),Spectrum,"No colour is transmitted (monochromatic), because only a very small fraction of spectrum is passed",,Confusion of shadows with 'black' objects
943,Observer - Optomechanics,"More (more of, higher)",Spectrum,Lenses add intensity at certain frequencies,Some incoming colours are more adulterated than others,Object classification is hampered (confusion of similar objects or object parts
944,Observer - Optomechanics,"More (more of, higher)",Spectrum,Lenses add intensity at certain frequencies,,Textures not distinguished or confused
945,Observer - Optomechanics,"More (more of, higher)",Spectrum,Lens transmits more of the incoming spectrum than expected,Unwanted spectral components of light hit the sensor (e.g. IR or UV),Effects caused by unwanted spectral components occur (E.g.: noise or exceeding the dynamic range of the sensor)
946,Observer - Optomechanics,"More (more of, higher)",Spectrum,Lens transmits more of the incoming spectrum than expected,Reduction of received light to distinguish e.g. different l.s.s cannot be used,Intended selection of view-specific scene components fails
947,Observer - Optomechanics,"Less (less of, lower)",Spectrum,Lenses are opaque to many frequencies in visual range,Reduces contrast,Certain image features are lost
948,Observer - Optomechanics,"Less (less of, lower)",Spectrum,Lenses are opaque to many frequencies in visual range,Different colours than expected,Misinterpretation
949,Observer - Optomechanics,"Less (less of, lower)",Spectrum,Lenses are opaque to many frequencies in visual range,,Misdetection
950,Observer - Optomechanics,As well as,Spectrum,See More and Less,See More and Less,See More and Less
951,Observer - Optomechanics,Part of,Spectrum,See less,See More and Less,See More and Less
952,Observer - Optomechanics,Reverse,Spectrum,A range of spectrum that is expected to be omitted is passing while the desired range is passed,See Meaning ,Photo elements are disturbed by the passing spectrum
953,Observer - Optomechanics,Other than,Spectrum,Lenses absorb certain frequencies and reemit them at other wave lengths,Most (or all) incoming colours are changed,See more
954,Observer - Optomechanics,Where else,Spectrum,Different parts of spectrum are transmitted to different locations,Chromatic aberration (achromatism): coloured edges,Edge detection and segmentation is hampered
955,Observer - Optomechanics,Where else,Spectrum,Different parts of spectrum are transmitted to different locations,Washed-out/Defocused edges,Stereo imaging: matching preciseness decreased
956,Observer - Optomechanics,Spatial periodic,Spectrum,Analogous to Transp.,Spectral errors are coupled to compound lenses,"Combination of ""Where else"" and ""Transp."""
957,Observer - Optomechanics,Spatial aperiodic,Spectrum,The spectral effects of the lens changes in a spatially aperiodic manner,Diffuse coloured edges occur around objects (above a certain contrast level) ,See where else
958,Observer - Optomechanics,Close,Spectrum,Objects close to each other (adjacent) get their spectra merged,See Where else,See Where else
959,Observer - Optomechanics,Faster,Spectrum,Observer is moved sufficiently fast to cause Doppler effect,Colours of fast moving objects are changed,Misinterpretation of fast moving objects
960,Observer - Optomechanics,No (not none),Lenses number,No lenses are used,Defocusing,See Less Focus
961,Observer - Optomechanics,"More (more of, higher)",Lenses number,More lenses are in lens assembly than expected,More reflections between lenses,Lens reflections are mis-interpreted as textures or objects
962,Observer - Optomechanics,"More (more of, higher)",Lenses number,More lenses are in lens assembly than expected,Lens reflections appear in image,Underexposure
963,Observer - Optomechanics,"More (more of, higher)",Lenses number,More lenses are in lens assembly than expected,"Transmitted frequencies are more filtered - stronger filtering, more dimming, less contrast",See also Less Transp.
964,Observer - Optomechanics,"Less (less of, lower)",Lenses number,Less lenses are in lens assembly than expected,"""More uncorrected chromatic lens errors"," i.e. aberration: halos, glares"""
965,Observer - Optomechanics,"Less (less of, lower)",Lenses number,Less lenses are in lens assembly than expected,Coma: small bright objects show a coma-like effect towards the image boarder,"Coma, halo, glare: misinterpreted as objects or texture"
966,Observer - Optomechanics,"Less (less of, lower)",Lenses number,Less lenses are in lens assembly than expected,Astigmatism: (Occurs for each lens) Rays from a point off the optical axis are less focused on the image pane is usually reduced in multi-lens arrangements,"Astigmatism: object's shape wrongly computed , or object's distance wrongly computed"
967,Observer - Optomechanics,"Less (less of, lower)",Lenses number,Less lenses are in lens assembly than expected,More light intensity gets through the whole lens assembly (more intensity at image),Overexposure
968,Observer - Optomechanics,"Less (less of, lower)",Lenses number,Less lenses are in lens assembly than expected,More  contrast than expected,See also More Transp.
969,Observer - Optomechanics,"Less (less of, lower)",Lenses number,Less lenses are in lens assembly than expected,More saturation than expected,"See Less Focus, Other than FOV"
970,Observer - Optomechanics,As well as,Lenses number,Multiple different lens assemblies are used ,Different lens effects than expected ,Registration and matching of images hampered
971,Observer - Optomechanics,Part of,Lenses number,Part of the lens assembly is missing,See Where else Trans,See Where else Trans
972,Observer - Optomechanics,Reverse,Lenses number,Lens body is used in reversed order,Projected real/virtual image size very different from expected,Failure to detect misconfiguration  leads to wrong interpretations in size or distance
973,Observer - Optomechanics,Reverse,Lenses number,Lens body is used in reversed order,Object sizes different from expected,"See Less Focus, Other than FOV "
974,Observer - Optomechanics,Other than,Lenses number,Different number of lenses than expected are used,Changed amount of optical aberration,"See Less Focus, Other than FOV"
975,Observer - Optomechanics,Other than,Lenses number,Different number of lenses than expected are used,Different focal length than expected,
976,Observer - Optomechanics,Where else,Lenses number,Lenses are arranged differently than expected,Changed amount of optical aberration,"See Less Focus, Other than FOV"
977,Observer - Optomechanics,Where else,Lenses number,Lenses are arranged differently than expected,Different focal length than expected,
978,Observer - Optomechanics,Close,Lenses number,Lenses in the assembly are too close together,Optical aberrations are not corrected as expected,Increased aberration misinterpreted as virtual pattern
979,Observer - Optomechanics,Remote,Lenses number,Lenses in the assembly are too far apart,Too many total reflections between lenses,Resulting optical effects misinterpreted as objects or virtual patterns
980,Observer - Optomechanics,No (not none),Lenses geometry,Lenses are flat (simple window),Lenses cannot be used to focus,See No Focus
981,Observer - Optomechanics,No (not none),Lenses geometry,Lenses are flat (simple window),Lenses cannot be used to reduce optical aberration,
982,Observer - Optomechanics,"More (more of, higher)",Lenses geometry,More optical effects due to strongly curved lens surfaces,Distortion: barrel or pincushion,Distortion: scene geometry misinterpreted
983,Observer - Optomechanics,"More (more of, higher)",Lenses geometry,More optical effects due to strongly curved lens surfaces,Vignetting: image darkening towards the edges,Vignetting: increased
984,Observer - Optomechanics,"More (more of, higher)",Lenses geometry,More optical effects due to strongly curved lens surfaces,Focus range is limited in distance (near-sighted),Underexposure 
985,Observer - Optomechanics,"More (more of, higher)",Lenses geometry,More optical effects due to strongly curved lens surfaces,,Misinterpretation of colours
986,Observer - Optomechanics,"More (more of, higher)",Lenses geometry,More optical effects due to strongly curved lens surfaces,,Misinterpretation of shadows
987,Observer - Optomechanics,"More (more of, higher)",Lenses geometry,More optical effects due to strongly curved lens surfaces,,"      towards the edges,"
988,Observer - Optomechanics,"More (more of, higher)",Lenses geometry,More optical effects due to strongly curved lens surfaces,,Remote objects poorly recognized
989,Observer - Optomechanics,"Less (less of, lower)",Lenses geometry,Less optical corrections due to weakly curved lens surfaces,Focus range is limited in distance (long-sighted),Close objects defocused - poorly recognized
990,Observer - Optomechanics,As well as,Lenses geometry,Lens surface is weaker on one side and stronger curved on the other side of the lens surface than expected,See More/Less,See More/Less
991,Observer - Optomechanics,Part of,Lenses geometry,Part of lens have other geometry than expected,Non-uniform deformation of image,Distances and object sizes can be miscalculated
992,Observer - Optomechanics,Part of,Lenses geometry,Part of lens have other geometry than expected,,See Less Focus
993,Observer - Optomechanics,Part of,Lenses geometry,Part of one lens is missing or lens is scattered,Crack/ Edge of lens pieces introduce complex patterns and interreflections,Objects in Blocked/Defocused  areas of the image are not correctly detected
994,Observer - Optomechanics,Part of,Lenses geometry,Part of one lens is missing or lens is scattered,Visible Cracks/Edges block/defocus parts of the scene,Cracks/Edges are confused with objects
995,Observer - Optomechanics,Reverse,Lenses geometry,Lens optics are reverse to expected,Lens is zooming out instead of in and vice versa,Wrong distances to objects are estimated
996,Observer - Optomechanics,Other than,Lenses geometry,Lenses have a different geometry than expected,See More/Less,See More/Less
997,Observer - Optomechanics,Spatial periodic,Lenses geometry,Lens geometry has a periodic pattern,Lens structure introduces a virtual pattern of distortions,Virtual pattern (kaleidoscopic) is confused with object pattern
998,Observer - Optomechanics,Spatial aperiodic,Lenses geometry,Spatial aperiodic disturbance or imperfections of lens geometry,Bright rays virtually emanate from bright objects within scene,Objects in defect zones of image are not detected correctly
999,Observer - Optomechanics,Spatial aperiodic,Lenses geometry,Spatial aperiodic disturbance or imperfections of lens geometry,Imperfections create zones of increased defocus and aberrations,"""Defects are confused with objects"
1000,Observer - Optomechanics,Spatial aperiodic,Lenses geometry,Spatial aperiodic disturbance or imperfections of lens geometry,Imperfections create virtual patterns,Locations (disparities) are corrupted
1001,Observer - Optomechanics,Temporal aperiodic,Lenses geometry,LGeom changes over time due to environmental conditions or aging,See Other Than FOV,See Other Than FOV
1002,Observer - Optomechanics,Temporal aperiodic,Lenses geometry,LGeom changes over time due to environmental conditions or aging,Compensations due to calibration do not fit the actual observers behaviour any more,Overcompensation of distortion and wrong focal length (See Other Than Calibration)
1003,Observer - Optomechanics,After,Lenses geometry,Lens geometry changes after calibration has been performed,See Temporal aperiodic,See Temporal aperiodic
1004,Observer - Optomechanics,After,Lenses geometry,Lens geometry changes after calibration has been performed,See Other Than Calibration,See Other Than Calibration
1005,Observer - Optomechanics,Behind,Lenses geometry,"Lens has imperfections inside its medium (""Behind surface"")",See Spatial aperiodic / Part of,See Spatial aperiodic / Part of
1006,Observer - Optomechanics,Faster,Lenses geometry,Lens geometry changes faster (between calibration intervals) than expected,See Temporal aperiodic,See Temporal aperiodic
1007,Observer - Optomechanics,Faster,Lenses geometry,Lens geometry changes faster (between calibration intervals) than expected,See Other Than Calibration,See Other Than Calibration
1008,Observer - Optomechanics,No (not none),Focusing,No part of scene is within DOF,"Highly defocused image, but different distances within scene show different degrees of defocusing",Image recognition severely hampered
1009,Observer - Optomechanics,No (not none),Focusing,Lenses are not shaped to allow focusing,See above,See above
1010,Observer - Optomechanics,No (not none),Focusing,Lenses are not shaped to allow focusing,See FOV No 2,
1011,Observer - Optomechanics,"More (more of, higher)",Focusing,DoF is larger than expected,"Larger depth of field than expected, e.g. background as sharp as foreground",CV alg. exploiting difference between sharply edged and blurred segments are hampered
1012,Observer - Optomechanics,"More (more of, higher)",Focusing,DoF is larger than expected,Contrast is increased,Separation of objects from background hampered
1013,Observer - Optomechanics,"More (more of, higher)",Focusing,DoF is larger than expected,More objects are clearly visible than expected,Computing time increased
1014,Observer - Optomechanics,"More (more of, higher)",Focusing,DoF  is larger than expected, Reduces accuracy in shape from focus,3D reconstruction is smeared or corrupted at all
1015,Observer - Optomechanics,"Less (less of, lower)",Focusing,DoF is smaller than expected,Smaller depth of field than expected,Objects cannot be completely recognised
1016,Observer - Optomechanics,"Less (less of, lower)",Focusing,DoF is smaller than expected,Essential scene parts are out of focus,"Blurred image areas misinterpreted as being empty or ""medium only"""
